категория;ПРОДУКТ;ВОДА;БЕЛКИ;ЖИРЫ;УГЛЕВОДЫ;ККАЛ;сырой/готовый
РЫБА И МОРЕПРОДУКТЫ;Хек;79.9;16.6;2.2;0.0;86.0;СЫРОЙ ВИД
РЫБА И МОРЕПРОДУКТЫ;Щука;70.4;18.8;0.7;0.0;82.0;СЫРОЙ ВИД
РЫБА И МОРЕПРОДУКТЫ;Язь;80.1;18.2;0.3;0.0;117.0;СЫРОЙ ВИД
РЫБА И МОРЕПРОДУКТЫ;Креветка дальневосточная;64.8;28.7;1.2;0.0;134.0;СЫРОЙ ВИД
РЫБА И МОРЕПРОДУКТЫ;Печень трески;26.4;4.2;65.7;0.0;613.0;СЫРОЙ ВИД
РЫБА И МОРЕПРОДУКТЫ;Кальмар;80.3;18.0;0.3;0.0;75.0;СЫРОЙ ВИД
РЫБА И МОРЕПРОДУКТЫ;Краб;81.5;16.0;0.5;0.0;69.0;СЫРОЙ ВИД
РЫБА И МОРЕПРОДУКТЫ;Креветка;77.5;18.0;0.8;0.0;83.0;СЫРОЙ ВИД
РЫБА И МОРЕПРОДУКТЫ;Морская капуста;88.0;0.9;0.2;3.0;5.0;СЫРОЙ ВИД
РЫБА И МОРЕПРОДУКТЫ;Паста “Океан”;72.2;18.9;6.8;0.0;137.0;СЫРОЙ ВИД
РЫБА И МОРЕПРОДУКТЫ;Трепанг;89.4;7.3;0.6;0.0;35.0;СЫРОЙ ВИД
РЫБА И МОРЕПРОДУКТЫ;Бычки;16.0;10.124999999999998;6.5;181.25;145.0;ГОТОВЫЙ ВИД
РЫБА И МОРЕПРОДУКТЫ;Горбуша;26.25;8.75;0;183.75;147.0;ГОТОВЫЙ ВИД
РЫБА И МОРЕПРОДУКТЫ;Камбала;20.125;3.25;0;110.0;88.0;ГОТОВЫЙ ВИД
РЫБА И МОРЕПРОДУКТЫ;Карась;22.124999999999996;2.25;0;108.75;87.0;ГОТОВЫЙ ВИД
РЫБА И МОРЕПРОДУКТЫ;Карп;20.0;4.5;0;120.0;96.0;ГОТОВЫЙ ВИД
РЫБА И МОРЕПРОДУКТЫ;Кета;27.5;6.999999999999999;0;172.5;138.0;ГОТОВЫЙ ВИД
РЫБА И МОРЕПРОДУКТЫ;Корюшка;19.375;4.0;0;113.75;91.0;ГОТОВЫЙ ВИД
РЫБА И МОРЕПРОДУКТЫ;Ледяная;19.375;1.7499999999999998;0;93.75;75.0;ГОТОВЫЙ ВИД
РЫБА И МОРЕПРОДУКТЫ;Лещ;21.375;5.124999999999999;0;131.25;105.0;ГОТОВЫЙ ВИД
РЫБА И МОРЕПРОДУКТЫ;Семга;26.0;18.875;0;273.75;219.0;ГОТОВЫЙ ВИД
РЫБА И МОРЕПРОДУКТЫ;Макрурус;16.499999999999996;1.0;0;75.0;60.0;ГОТОВЫЙ ВИД
РЫБА И МОРЕПРОДУКТЫ;Минога;18.374999999999996;14.875;0;207.5;166.0;ГОТОВЫЙ ВИД
РЫБА И МОРЕПРОДУКТЫ;Минтай;19.875;0.8749999999999999;0;87.5;70.0;ГОТОВЫЙ ВИД
РЫБА И МОРЕПРОДУКТЫ;Мойва;16.75;14.375;0;196.25;157.0;ГОТОВЫЙ ВИД
РЫБА И МОРЕПРОДУКТЫ;Навага;20.125;1.25;0;91.25;73.0;ГОТОВЫЙ ВИД
РЫБА И МОРЕПРОДУКТЫ;Налим;23.5;0.7499999999999999;0;101.25;81.0;ГОТОВЫЙ ВИД
РЫБА И МОРЕПРОДУКТЫ;Нототения мраморная;18.5;13.374999999999998;0;195.0;156.0;ГОТОВЫЙ ВИД
РЫБА И МОРЕПРОДУКТЫ;Окунь морской;22.0;6.5;0;146.25;117.0;ГОТОВЫЙ ВИД
РЫБА И МОРЕПРОДУКТЫ;Окунь речной;23.125;1.125;0;102.5;82.0;ГОТОВЫЙ ВИД
РЫБА И МОРЕПРОДУКТЫ;Осетр;20.499999999999996;13.625;0;205.0;164.0;ГОТОВЫЙ ВИД
РЫБА И МОРЕПРОДУКТЫ;Палтус;23.624999999999996;3.75;0;128.75;103.0;ГОТОВЫЙ ВИД
РЫБА И МОРЕПРОДУКТЫ;Путассу;20.125;1.125;0;90.0;72.0;ГОТОВЫЙ ВИД
РЫБА И МОРЕПРОДУКТЫ;Рыба-сабля;25.375;4.0;0;137.5;110.0;ГОТОВЫЙ ВИД
РЫБА И МОРЕПРОДУКТЫ;Рыбец каспийский;23.999999999999996;2.9999999999999996;0;122.5;98.0;ГОТОВЫЙ ВИД
РЫБА И МОРЕПРОДУКТЫ;Сазан;22.999999999999996;6.624999999999999;0;151.25;121.0;ГОТОВЫЙ ВИД
РЫБА И МОРЕПРОДУКТЫ;Сайра крупная;23.25;26.0;0;327.5;262.0;ГОТОВЫЙ ВИД
РЫБА И МОРЕПРОДУКТЫ;Сайра мелкая;25.499999999999996;1.0;0;178.75;143.0;ГОТОВЫЙ ВИД
РЫБА И МОРЕПРОДУКТЫ;Салака;21.625;6.999999999999999;0;151.25;121.0;ГОТОВЫЙ ВИД
РЫБА И МОРЕПРОДУКТЫ;Сиг;23.75;9.375;0;180.0;144.0;ГОТОВЫЙ ВИД
РЫБА И МОРЕПРОДУКТЫ;Сом;21.0;10.625;0;180.0;144.0;ГОТОВЫЙ ВИД
РЫБА И МОРЕПРОДУКТЫ;Ставрида;23.125;6.25;0;148.75;119.0;ГОТОВЫЙ ВИД
РЫБА И МОРЕПРОДУКТЫ;Стерлядь;21.25;7.624999999999999;0;400.0;320.0;ГОТОВЫЙ ВИД
РЫБА И МОРЕПРОДУКТЫ;Судак;23.75;1.0;0;103.75;83.0;ГОТОВЫЙ ВИД
РЫБА И МОРЕПРОДУКТЫ;Треска;21.875;0.7499999999999999;0;93.75;75.0;ГОТОВЫЙ ВИД
РЫБА И МОРЕПРОДУКТЫ;Тунец;28.374999999999996;0.8749999999999999;0;120.0;96.0;ГОТОВЫЙ ВИД
РЫБА И МОРЕПРОДУКТЫ;Угольная рыба;16.499999999999996;14.499999999999998;0;197.5;158.0;ГОТОВЫЙ ВИД
РЫБА И МОРЕПРОДУКТЫ;Угорь морской;23.875;2.3749999999999996;0;117.5;94.0;ГОТОВЫЙ ВИД
РЫБА И МОРЕПРОДУКТЫ;Угорь;18.125;38.125;0;416.25;333.0;ГОТОВЫЙ ВИД
РЫБА И МОРЕПРОДУКТЫ;Хек;20.75;2.75;0;107.5;86.0;ГОТОВЫЙ ВИД
РЫБА И МОРЕПРОДУКТЫ;Щука;23.5;0.8749999999999999;0;102.5;82.0;ГОТОВЫЙ ВИД
РЫБА И МОРЕПРОДУКТЫ;Язь;22.749999999999996;0.37499999999999994;0;146.25;117.0;ГОТОВЫЙ ВИД
РЫБА И МОРЕПРОДУКТЫ;Креветка дальневосточная;35.875;1.4999999999999998;0;167.5;134.0;ГОТОВЫЙ ВИД
РЫБА И МОРЕПРОДУКТЫ;Печень трески;5.25;82.125;0;766.25;613.0;ГОТОВЫЙ ВИД
РЫБА И МОРЕПРОДУКТЫ;Кальмар;22.5;0.37499999999999994;0;93.75;75.0;ГОТОВЫЙ ВИД
РЫБА И МОРЕПРОДУКТЫ;Краб;20.0;0.625;0;86.25;69.0;ГОТОВЫЙ ВИД
РЫБА И МОРЕПРОДУКТЫ;Креветка;22.5;1.0;0;103.75;83.0;ГОТОВЫЙ ВИД
РЫБА И МОРЕПРОДУКТЫ;Морская капуста;1.125;0.25;3.75;6.25;5.0;ГОТОВЫЙ ВИД
РЫБА И МОРЕПРОДУКТЫ;Паста “Океан”;23.624999999999996;8.5;0;171.25;137.0;ГОТОВЫЙ ВИД
РЫБА И МОРЕПРОДУКТЫ;Трепанг;9.125;0.7499999999999999;0;43.75;35.0;ГОТОВЫЙ ВИД
ИКРА;Кеты зернистая;46.9;31.6;13.8;0.0;251.0;СЫРОЙ ВИД
ИКРА;Лещевая пробойная;58.0;24.7;4.8;0.0;142.0;СЫРОЙ ВИД
ИКРА;Минтаевая пробойная;63.2;28.4;1.9;0.0;131.0;СЫРОЙ ВИД
ИКРА;Осетровая зернистая;58.0;28.9;9.7;0.0;203.0;СЫРОЙ ВИД
ИКРА;Осетровая пробойная;39.5;36.0;10.2;0.0;123.0;СЫРОЙ ВИД
ОРЕХИ;Фундук;4.8;16.1;66.9;9.9;704.0;СЫРОЙ ВИД
ОРЕХИ;Миндаль;4.0;18.6;57.7;13.6;645.0;СЫРОЙ ВИД
ОРЕХИ;Грецкий орех;5.0;13.8;61.3;10.2;648.0;СЫРОЙ ВИД
ОРЕХИ;Арахис;10.0;26.3;45.2;9.7;548.0;СЫРОЙ ВИД
ОРЕХИ;Семя подсолнечника;8.0;20.7;52.9;5.0;578.0;СЫРОЙ ВИД
