категория;ПРОДУКТ;ВОДА;БЕЛКИ;ЖИРЫ;УГЛЕВОДЫ;ККАЛ;сырой/готовый
ОВОЩИ;Петрушка (корень);85.0;1.5;0;11.0;47.0;СЫРОЙ ВИД
ОВОЩИ;Ревень (черешковый);94.5;0.7;0;2.9;16.0;СЫРОЙ ВИД
ОВОЩИ;Редис;93.0;1.2;0;4.1;20.0;СЫРОЙ ВИД
ОВОЩИ;Редька;88.6;1.9;0;7.0;34.0;СЫРОЙ ВИД
ОВОЩИ;Салат;95.0;1.5;0;2.2;14.0;СЫРОЙ ВИД
ОВОЩИ;Свекла;86.5;1.7;0;10.8;48.0;СЫРОЙ ВИД
ОВОЩИ;Томаты;93.5;0.6;0;4.2;19.0;СЫРОЙ ВИД
ОВОЩИ;Зеленая фасоль;90.0;4.0;0;4.3;32.0;СЫРОЙ ВИД
ОВОЩИ;Черемша;89.0;2.4;0;6.5;34.0;СЫРОЙ ВИД
ОВОЩИ;Чеснок;70.0;6.5;0;21.2;106.0;СЫРОЙ ВИД
ОВОЩИ;Шпинат;91.2;2.9;0;2.3;21.0;СЫРОЙ ВИД
ОВОЩИ;Щавель;90.0;1.5;0;5.3;28.0;СЫРОЙ ВИД
ОВОЩИ;Баклажаны;0.7792207792207791;0.12987012987012989;7.142857142857142;31.16883116883117;24.0;ГОТОВЫЙ ВИД
ОВОЩИ;Брюква;1.5584415584415583;0.12987012987012989;10.519480519480519;48.05194805194805;37.0;ГОТОВЫЙ ВИД
ОВОЩИ;Горошек зеленый;6.4935064935064934;0.25974025974025977;17.272727272727273;93.5064935064935;72.0;ГОТОВЫЙ ВИД
ОВОЩИ;Кабачки;0.7792207792207791;0.3896103896103896;7.402597402597403;35.064935064935064;27.0;ГОТОВЫЙ ВИД
ОВОЩИ;Капуста белокочанная;2.3376623376623376;0.0;7.012987012987013;36.36363636363636;28.0;ГОТОВЫЙ ВИД
ОВОЩИ;Капуста краснокочанная;2.3376623376623376;0.0;7.922077922077921;40.25974025974026;31.0;ГОТОВЫЙ ВИД
ОВОЩИ;Капуста цветная;3.2467532467532467;0.0;6.363636363636364;37.66233766233766;29.0;ГОТОВЫЙ ВИД
